subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation RightOrLeft
lala 4 1.2 second second 27 1 237 8 7.040001 0.433391332626343 1 1 1 1
lala 8 0.3 second second 28 1 238 6.6 5.856 0.90006422996521 2 0 1 1
lala 7 0.6 second second 13 1 239 6.6 5.778 2.66675472259521 0 1 1 1
lala 12 0.3 first first 15 1 240 8 6.815001 1.0111768245697 0 1 1 1
lala 5 2.4 first second 23 1 241 8 4.640001 0.855619192123413 0.5 1 -1 1
lala 5 2.4 second first 27 1 242 8 4.640001 0.100053548812866 1 1 -1 0
lala 9 0.3 first second 31 1 243 8 4.940001 0.533392667770386 2 1 -1 0
lala 7 0.3 second second 29 1 244 6.6 6.678 0.311167478561401 2 1 1 0
lala 13 0.6 first first 15 1 245 8 6.215001 5.22136688232422E-05 0 1 1 1
lala 13 0.0375 first first 3 1 246 8 7.49 1.25562453269959 -1 1 1 1
lala 6 1.2 first first 23 1 247 8 5.840001 0.566726446151733 0.5 1 1 1
lala 8 2.4 first second 25 1 248 6.6 1.578 2.42230701446533 1 1 -1 1
lala 6 1.2 first first 27 1 249 8 5.840001 6.02235555648804 1 1 1 1
lala 6 0.6 first first 21 1 250 6.6 6.378 4.08899593353271 0.5 1 1 1
lala 14 1.2 first second 15 1 251 8 5.015001 1.12228941917419 0 1 -1 0
lala 6 0.3 second first 18 1 252 8 6.180001 0.522281408309937 0.25 0 -1 0
lala 11 0.15 first first 22 1 253 8 5.88 0.233388662338257 0.5 0 1 0
lala 8 0.3 second second 29 1 254 6.6 6.378 0.322278738021851 2 1 1 0
lala 12 0.15 first first 16 1 255 6.6 7.506 0.555615186691284 0.25 0 1 1
lala 7 0.6 first first 23 1 256 8 5.240001 1.13340067863464 0.5 1 1 0
lala 11 0.075 second first 11 1 257 8 4.865001 5.22136688232422E-05 -0.25 1 -1 0
lala 8 1.2 first second 13 1 258 6.6 4.578 0.3333899974823 0 1 -1 1
lala 7 4.8 second first 1 1 259 6.6 -0.822 0.100053548812866 -1 1 -1 1
lala 13 0.15 first first 2 1 260 8 7.379999 0.522281408309937 -1 0 1 0
lala 14 0.075 second second 2 1 261 8 7.304999 0.622282743453979 -1 0 1 0
lala 10 0.075 first first 6 1 262 8 6.705 0.177832365036011 -0.5 0 1 0
lala 8 1.2 second first 5 1 263 6.6 6.378 0.711172819137573 -0.5 1 -1 1
lala 12 0.0375 first second 4 1 264 6.6 5.7435 0.433391332626343 -0.5 0 -1 0
lala 9 0.3 second second 29 1 265 6.6 6.078 0.722284078598022 2 1 1 1
lala 7 0.3 second second 19 1 266 8 7.04 1.47784972190857 0.25 1 1 0
lala 14 0.01875 first first 3 1 267 8 7.47125 0.766729116439819 -1 1 1 0
lala 13 0.0375 second second 4 1 268 6.6 5.781 0.388946294784546 -0.5 0 1 0
lala 9 2.4 second second 9 1 269 6.6 4.577999 0.588948965072632 -0.25 1 1 0
lala 9 2.4 first first 25 1 270 6.6 3.978 0.366723775863647 1 1 1 1
lala 13 0.0375 first first 0 1 271 6.6 6.830999 0.61117148399353 -1 0 1 1
lala 10 0.6 second second 29 1 272 6.6 5.478 0.366723775863647 2 1 1 1
lala 10 0.3 first first 31 1 273 8 5.240002 3.42232036590576 2 1 1 0
lala 5 1.2 first second 12 1 274 6.6 4.356 0.61117148399353 0 0 -1 1
lala 8 0.6 second second 23 1 275 8 4.640001 0.311167478561401 0.5 1 1 0
lala 13 0.075 second second 16 1 276 6.6 7.431 0.744506597518921 0.25 0 1 1
lala 10 0.0375 first second 30 1 277 8 4.53 0.422280073165894 2 0 -1 0
lala 7 0.3 second second 18 1 278 8 6.480001 0.411168813705444 0.25 0 1 1
lala 11 0.0375 second first 30 1 279 8 4.5675 1.0556218624115 2 0 -1 1
lala 14 0.0375 second first 0 1 280 6.6 6.793499 0.800062894821167 -1 0 -1 1
lala 12 0.075 second first 11 1 281 8 4.940001 0.422280073165894 -0.25 1 -1 0
lala 15 0.01875 second second 0 1 282 6.6 6.81225 0.300056219100952 -1 0 1 0
lala 6 0.6 first second 12 1 283 6.6 4.956 0.366723775863647 0 0 -1 0
lala 11 0.075 second second 6 1 284 8 6.630001 0.18894362449646 -0.5 0 1 1
lala 15 0.01875 second second 3 1 285 8 7.4525 0.266722440719604 -1 1 1 1
lala 10 1.2 second first 25 1 286 6.6 2.778 0.46672511100769 1 1 -1 0
lala 8 0.3 second second 19 1 287 8 6.74 1.0778443813324 0.25 1 1 1
lala 9 0.6 second first 23 1 288 8 4.040001 1.00006556510925 0.5 1 -1 1
lala 12 0.15 first second 22 1 289 8 5.73 0.566726446151733 0.5 0 -1 0
lala 10 4.8 first second 9 1 290 6.6 -0.2220016 1.44451594352722 -0.25 1 -1 1
lala 7 0.6 second first 21 1 291 6.6 5.778 1.18895697593689 0.5 1 -1 1
lala 16 0.01875 second first 3 1 292 8 7.43375 0.788951635360718 -1 1 -1 0
lala 12 0.075 second first 6 1 293 8 6.555001 1.72229766845703 -0.5 0 -1 1
lala 14 0.01875 second second 4 1 294 6.6 5.762249 2.933424949646 -0.5 0 1 0
lala 11 0.15 first second 31 1 295 8 5.090002 0.344501256942749 2 1 -1 1
lala 13 0.075 second first 22 1 296 8 5.805 2.80008983612061 0.5 0 -1 0
lala 7 0.15 first second 10 1 297 8 6.030001 0.800062894821167 -0.25 0 -1 0
lala 12 0.075 second first 31 1 298 8 5.165001 1.13340067863464 2 1 -1 0
lala 6 0.6 first second 26 1 299 8 5.280001 0.522281408309937 1 0 -1 1
lala 13 0.0375 second second 6 1 300 8 6.592501 1.63340759277344 -0.5 0 1 0
lala 17 0.009375 first first 3 1 301 8 7.443125 2.15563678741455 -1 1 1 0
lala 16 0.009375 second second 0 1 302 6.6 6.802875 1.25562453269959 -1 0 1 1
lala 14 0.075 second second 16 1 303 6.6 7.356 1.20006823539734 0.25 0 1 0
lala 7 0.6 first second 12 1 304 6.6 5.556 0.511170148849487 0 0 -1 1
lala 13 0.075 first second 31 1 305 8 5.240001 0.511170148849487 2 1 -1 0
lala 8 2.4 second first 1 1 306 6.6 1.578 0.622282743453979 -1 1 -1 1
lala 13 0.075 second first 11 1 307 8 5.015001 0.555615186691284 -0.25 1 -1 0
lala 9 0.6 first second 13 1 308 6.6 5.178 0.355612516403198 0 1 -1 1
lala 10 0.6 second second 13 1 309 6.6 5.778 0.46672511100769 0 1 1 1
