subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Response_MotionEstimation
lala 16 0.0375 second second 9 1 262 -8 -6.012501 0.579997777938843 0 1
lala 15 0.15 first first 16 1 263 -8 -6.2375 0.499997854232788 0.25 1
lala 13 0.01875 second second 18 1 264 -6.6 -6.32625 0.39999794960022 0.25 1
lala 17 0.6 second first 1 1 265 -8 -5.899999 1.05999732017517 -0.25 -1
lala 11 0.3 second first 23 1 266 8 5.300001 0.839997529983521 0.25 -1
lala 10 0.15 second second 20 1 267 6.6 5.82 0.819997549057007 0.25 1
lala 12 0.15 first first 11 1 268 -6.6 -5.655001 2.33999633789063 0 1
lala 17 0.075 second second 9 1 269 -8 -5.937501 15.4202170372009 0 1
lala 7 0.6 second first 5 1 270 6.6 6.78 0.879997491836548 -0.25 -1
lala 18 0.6 second second 1 1 271 -8 -6.499999 1.8599967956543 -0.25 1
lala 13 0.3 first second 11 1 272 -6.6 -5.355 1.47999691963196 0 -1
lala 16 0.3 first second 16 1 273 -8 -5.9375 0.919997453689575 0.25 -1
lala 11 0.15 first first 20 1 274 6.6 5.67 1.51999688148499 0.25 1
lala 13 0.3 second second 3 1 275 -6.6 -6.33 0.559997797012329 -0.25 1
lala 14 0.00234375 first first 13 1 276 6.6 5.390157 0.639997720718384 0 1
lala 15 0.009375 first first 4 1 277 6.6 7.066875 0.39999794960022 -0.25 1
lala 14 0.15 second second 3 1 278 -6.6 -6.18 2.21999645233154 -0.25 1
lala 12 0.6 second first 2 1 279 -6.6 -4.919999 0.459997892379761 -0.25 -1
lala 9 0.075 second first 10 1 280 -6.6 -6.12 0.339998006820679 0 -1
lala 9 0.075 second first 6 1 281 8 5.975 1.17999720573425 -0.25 -1
lala 14 0.075 second first 21 1 282 6.6 5.505001 0.539997816085815 0.25 -1
lala 13 0.15 second first 15 1 283 8 6.35 0.939997434616089 0 -1
lala 15 0.075 first second 21 1 284 6.6 5.58 0.759997606277466 0.25 -1
lala 13 0.6 first second 2 1 285 -6.6 -5.519999 0.919997453689575 -0.25 -1
lala 15 0.15 first second 3 1 286 -6.6 -6.03 15.2002120018005 -0.25 -1
lala 16 0.075 second first 21 1 287 6.6 5.655 2.51999616622925 0.25 -1
lala 14 0.075 first second 15 1 288 8 6.425 0.799997568130493 0 -1
lala 11 1.2 first second 8 1 289 -8 -5.599999 0.459997892379761 0 -1
lala 9 0.15 second second 22 1 290 8 5.6 0.299998044967651 0.25 1
lala 13 0.009375 second second 12 1 291 6.6 5.116875 4.51999425888062 0 1
lala 15 0.075 first first 15 1 292 8 6.5 2.37999629974365 0 1
lala 14 0.009375 second second 12 1 293 6.6 5.1075 0.539997816085815 0 1
lala 12 0.3 second second 20 1 294 6.6 5.369999 0.439997911453247 0.25 1
lala 14 0.01875 first second 14 1 295 8 5.918751 1.03999733924866 0 -1
lala 14 1.2 second second 2 1 296 -6.6 -6.719999 0.779997587203979 -0.25 1
lala 10 0.0375 second first 10 1 297 -6.6 -6.1575 1.0999972820282 0 -1
lala 16 0.009375 second second 4 1 298 6.6 7.0575 1.59999680519104 -0.25 1
lala 17 0.15 second first 16 1 299 -8 -6.0875 0.39999794960022 0.25 -1
lala 17 0.15 first first 21 1 300 6.6 5.805 0.419997930526733 0.25 1
lala 7 0.15 second first 0 1 301 -8 -6.35 0.379997968673706 -0.25 -1
lala 8 0.075 second first 0 1 302 -8 -6.425 0.479997873306274 -0.25 -1
